,State_Name,District_Name,Crop_Year,Season,Crop,Area,production
9452,Andhra Pradesh,WEST GODAVARI,2003,Rabi       ,other oilseeds,4367.0,29442.1
9586,Andhra Pradesh,WEST GODAVARI,2007,Rabi       ,Sesamum,1000.0,548.8
9628,Andhra Pradesh,WEST GODAVARI,2009,Kharif     ,Soyabean,5.0,100.70916666666668
9793,Andhra Pradesh,WEST GODAVARI,2014,Kharif     ,Cabbage,26.0,521.8666666666667
11285,Arunachal Pradesh,PAPUM PARE,2002,Whole Year ,Turmeric,6.0,14.283333333333331
16241,Assam,DHUBRI,2005,Kharif     ,Cotton(lint),1.0,1.0
19096,Assam,HAILAKANDI,2005,Whole Year ,Tobacco,1.0,1.0
19614,Assam,JORHAT,2005,Rabi       ,Gram,1.0,1.0
20557,Assam,KAMRUP METRO,2005,Whole Year ,Tobacco,1.0,1.0
26120,Assam,TINSUKIA,1998,Kharif     ,Cotton(lint),1.0,1.0
26147,Assam,TINSUKIA,1999,Kharif     ,Cotton(lint),1.0,1.0
28181,Bihar,AURANGABAD,2008,Kharif     ,Urad,1.0,1.0
30143,Bihar,BHOJPUR,2004,Kharif     ,Other Kharif pulses,1.0,0.690422077922078
31017,Bihar,DARBHANGA,2002,Kharif     ,Sesamum,1.0,1.0
31799,Bihar,GAYA,2010,Kharif     ,Bajra,1.0,1.0
32109,Bihar,GOPALGANJ,2002,Kharif     ,Moong(Green Gram),5.0,2.6547619047619047
32681,Bihar,JAMUI,2007,Autumn     ,Rice,7.0,9.370238095238095
33085,Bihar,JEHANABAD,2005,Kharif     ,Other Kharif pulses,1.0,0.690422077922078
35648,Bihar,LAKHISARAI,2010,Rabi       ,Rapeseed &Mustard,2478.0,1691.0
42685,Bihar,SARAN,2004,Kharif     ,Other Kharif pulses,1.0,0.690422077922078
43039,Bihar,SHEIKHPURA,2000,Rabi       ,Moong(Green Gram),1.0,0.8800000000000001
44385,Bihar,SIWAN,2002,Kharif     ,Moong(Green Gram),5.0,2.6547619047619047
45912,Chandigarh,CHANDIGARH,2000,Kharif     ,Arhar/Tur,20.0,11.775
46054,Chhattisgarh,BALOD,2013,Kharif     ,Other Kharif pulses,141.0,42.35
