,State_Name,District_Name,Crop_Year,Season,Crop,Area,production
67047,Haryana,GURGAON,2010,Rabi       ,Gram,3.0,0.0
67048,Haryana,GURGAON,2010,Rabi       ,Masoor,1.0,0.0
67049,Haryana,GURGAON,2010,Rabi       ,Peas & beans (Pulses),28.0,28.4
67052,Haryana,GURGAON,2010,Whole Year ,Dry chillies,2.0,1.4214285714285713
67055,Haryana,GURGAON,2010,Whole Year ,Sannhamp,1.0,0.0
67056,Haryana,GURGAON,2010,Whole Year ,Sugarcane,42.0,390.0
67057,Haryana,GURGAON,2010,Whole Year ,Sweet potato,37.0,683.0
67060,Haryana,GURGAON,2011,Kharif     ,Groundnut,18.0,1.95
67062,Haryana,GURGAON,2011,Kharif     ,Maize,6.0,7.209999999999999
67070,Haryana,GURGAON,2011,Whole Year ,Sugarcane,5.0,10.894015151515152
67071,Haryana,GURGAON,2011,Whole Year ,Sweet potato,18.0,251.7
67074,Haryana,GURGAON,2012,Kharif     ,Cotton(lint),181.0,91.53333333333333
67084,Haryana,GURGAON,2012,Whole Year ,Sugarcane,68.0,1694.5
67098,Haryana,HISAR,1998,Kharif     ,Groundnut,29.0,26.1
67099,Haryana,HISAR,1998,Kharif     ,Maize,119.0,4.6
67111,Haryana,HISAR,1998,Whole Year ,Sannhamp,43.0,0.0
67125,Haryana,HISAR,1999,Rabi       ,Masoor,24.0,21.5
67220,Haryana,HISAR,2004,Kharif     ,Jowar,8.0,5.15
67221,Haryana,HISAR,2004,Kharif     ,Maize,78.0,13.4
67226,Haryana,HISAR,2004,Kharif     ,Urad,21.0,0.0
67229,Haryana,HISAR,2004,Rabi       ,Masoor,2.0,0.1
67233,Haryana,HISAR,2004,Whole Year ,Garlic,3.0,4.171607142857143
67235,Haryana,HISAR,2004,Whole Year ,Sannhamp,5.0,0.0
67237,Haryana,HISAR,2005,Kharif     ,Arhar/Tur,22.0,9.2
67241,Haryana,HISAR,2005,Kharif     ,Jowar,29.0,26.37309523809524
67242,Haryana,HISAR,2005,Kharif     ,Maize,44.0,0.0
67256,Haryana,HISAR,2005,Whole Year ,Sannhamp,5.0,0.0
67258,Haryana,HISAR,2006,Kharif     ,Arhar/Tur,30.0,0.0
67264,Haryana,HISAR,2006,Kharif     ,Jowar,152.0,133.3
67265,Haryana,HISAR,2006,Kharif     ,Maize,26.0,0.0
67267,Haryana,HISAR,2006,Kharif     ,Moth,624.0,195.63939393939395
67279,Haryana,HISAR,2006,Whole Year ,Sannhamp,1.0,0.0
67286,Haryana,HISAR,2007,Kharif     ,Maize,22.0,2.4
67288,Haryana,HISAR,2007,Kharif     ,Moth,627.0,195.63939393939395
67295,Haryana,HISAR,2007,Rabi       ,Peas & beans (Pulses),1.0,0.5
67300,Haryana,HISAR,2007,Whole Year ,Sannhamp,3.0,1.3824999999999998
67307,Haryana,HISAR,2008,Kharif     ,Maize,18.0,17.98333333333333
67315,Haryana,HISAR,2008,Rabi       ,Masoor,3.0,0.0
67321,Haryana,HISAR,2008,Whole Year ,Sannhamp,1.0,0.0
67323,Haryana,HISAR,2009,Kharif     ,Arhar/Tur,3.0,1.7
67328,Haryana,HISAR,2009,Kharif     ,Maize,48.0,0.0
67333,Haryana,HISAR,2009,Kharif     ,Urad,42.0,65.7
67336,Haryana,HISAR,2009,Rabi       ,Masoor,4.0,0.2
67347,Haryana,HISAR,2010,Kharif     ,Maize,59.0,7.6
67350,Haryana,HISAR,2010,Kharif     ,Other Kharif pulses,162.0,56.1
67353,Haryana,HISAR,2010,Kharif     ,Urad,2.0,0.2
67356,Haryana,HISAR,2010,Rabi       ,Masoor,8.0,0.8
67368,Haryana,HISAR,2011,Kharif     ,Maize,51.0,0.0
67373,Haryana,HISAR,2011,Kharif     ,Urad,3.0,0.0
67376,Haryana,HISAR,2011,Rabi       ,Masoor,7.0,0.0
67386,Haryana,HISAR,2012,Kharif     ,Maize,24.0,0.0
67412,Haryana,JHAJJAR,1998,Kharif     ,Groundnut,18.0,1.95
67414,Haryana,JHAJJAR,1998,Kharif     ,Maize,19.0,18.9
67415,Haryana,JHAJJAR,1998,Kharif     ,Moong(Green Gram),3.0,0.0
67417,Haryana,JHAJJAR,1998,Kharif     ,Sesamum,44.0,20.0
67418,Haryana,JHAJJAR,1998,Kharif     ,Urad,147.0,68.4
67521,Haryana,JHAJJAR,2004,Kharif     ,Groundnut,61.0,66.7
67523,Haryana,JHAJJAR,2004,Kharif     ,Maize,72.0,43.04833333333333
67524,Haryana,JHAJJAR,2004,Kharif     ,Moong(Green Gram),44.0,15.780000000000001
67526,Haryana,JHAJJAR,2004,Kharif     ,Sesamum,73.0,58.55
67529,Haryana,JHAJJAR,2004,Rabi       ,Peas & beans (Pulses),1.0,0.5
67534,Haryana,JHAJJAR,2004,Whole Year ,Sannhamp,144.0,225.6
67541,Haryana,JHAJJAR,2005,Kharif     ,Maize,116.0,11.8
67542,Haryana,JHAJJAR,2005,Kharif     ,Moong(Green Gram),14.0,1.1
67544,Haryana,JHAJJAR,2005,Kharif     ,Sesamum,26.0,8.1
67547,Haryana,JHAJJAR,2005,Rabi       ,Peas & beans (Pulses),47.0,48.43333333333333
67552,Haryana,JHAJJAR,2005,Whole Year ,Sannhamp,116.0,284.25
67559,Haryana,JHAJJAR,2006,Kharif     ,Maize,125.0,41.93333333333334
67560,Haryana,JHAJJAR,2006,Kharif     ,Moong(Green Gram),50.0,0.0
67562,Haryana,JHAJJAR,2006,Kharif     ,Sesamum,54.0,8.6
67570,Haryana,JHAJJAR,2006,Whole Year ,Sannhamp,85.0,162.7
67577,Haryana,JHAJJAR,2007,Kharif     ,Maize,100.0,10.5
67578,Haryana,JHAJJAR,2007,Kharif     ,Moong(Green Gram),30.0,5.071428571428571
67580,Haryana,JHAJJAR,2007,Kharif     ,Sesamum,29.0,6.529999999999999
67586,Haryana,JHAJJAR,2007,Whole Year ,Sannhamp,44.0,5.2
67588,Haryana,JHAJJAR,2007,Whole Year ,Sweet potato,1.0,0.0
67594,Haryana,JHAJJAR,2008,Kharif     ,Maize,30.0,7.9
67595,Haryana,JHAJJAR,2008,Kharif     ,Moong(Green Gram),30.0,5.071428571428571
67597,Haryana,JHAJJAR,2008,Kharif     ,Sesamum,31.0,7.2
67603,Haryana,JHAJJAR,2008,Whole Year ,Sannhamp,44.0,5.2
67605,Haryana,JHAJJAR,2008,Whole Year ,Sweet potato,1.0,0.0
67609,Haryana,JHAJJAR,2009,Kharif     ,Groundnut,54.0,59.1
67611,Haryana,JHAJJAR,2009,Kharif     ,Maize,99.0,10.5
67612,Haryana,JHAJJAR,2009,Kharif     ,Moong(Green Gram),15.0,2.175
67614,Haryana,JHAJJAR,2009,Kharif     ,Sesamum,22.0,2.0300000000000002
67624,Haryana,JHAJJAR,2010,Kharif     ,Maize,38.0,0.0
67625,Haryana,JHAJJAR,2010,Kharif     ,Moong(Green Gram),65.0,15.0
67627,Haryana,JHAJJAR,2010,Kharif     ,Sesamum,14.0,5.6
67632,Haryana,JHAJJAR,2010,Whole Year ,Sannhamp,16.0,11.1
67639,Haryana,JHAJJAR,2011,Kharif     ,Maize,98.0,10.5
67640,Haryana,JHAJJAR,2011,Kharif     ,Moong(Green Gram),43.0,17.871428571428574
67642,Haryana,JHAJJAR,2011,Kharif     ,Sannhamp,4.0,1.15
67643,Haryana,JHAJJAR,2011,Kharif     ,Sesamum,38.0,7.9
67644,Haryana,JHAJJAR,2011,Kharif     ,Soyabean,3.0,0.7125
67646,Haryana,JHAJJAR,2011,Rabi       ,Gram,428.0,1000.0
67647,Haryana,JHAJJAR,2011,Rabi       ,Peas & beans (Pulses),8.0,1.1
67656,Haryana,JHAJJAR,2012,Kharif     ,Maize,190.0,16.7
67683,Haryana,JIND,1998,Kharif     ,Jowar,2842.0,2662.6
67684,Haryana,JIND,1998,Kharif     ,Maize,18.0,17.98333333333333
67685,Haryana,JIND,1998,Kharif     ,Moong(Green Gram),21.0,1.1
67687,Haryana,JIND,1998,Kharif     ,Sesamum,161.0,30.0
67694,Haryana,JIND,1998,Whole Year ,Dry chillies,18.0,131.6
67697,Haryana,JIND,1998,Whole Year ,Sannhamp,25.0,51.8
67713,Haryana,JIND,1999,Whole Year ,Dry chillies,20.0,115.0
67789,Haryana,JIND,2004,Kharif     ,Jowar,571.0,590.6
67790,Haryana,JIND,2004,Kharif     ,Moong(Green Gram),57.0,2.2
67794,Haryana,JIND,2004,Rabi       ,Gram,427.0,1000.0
67798,Haryana,JIND,2004,Whole Year ,Sannhamp,42.0,0.0
67803,Haryana,JIND,2005,Kharif     ,Jowar,247.0,170.57999999999998
67804,Haryana,JIND,2005,Kharif     ,Maize,1.0,0.0
67807,Haryana,JIND,2005,Kharif     ,Sesamum,268.0,117.4
67808,Haryana,JIND,2005,Kharif     ,Urad,1.0,0.0
67815,Haryana,JIND,2005,Whole Year ,Sannhamp,15.0,11.5
67820,Haryana,JIND,2006,Kharif     ,Jowar,144.0,142.1
67824,Haryana,JIND,2006,Kharif     ,Urad,4.0,0.2
67827,Haryana,JIND,2006,Rabi       ,Masoor,26.0,10.4
67830,Haryana,JIND,2006,Whole Year ,Dry chillies,13.0,10.0
67831,Haryana,JIND,2006,Whole Year ,Sannhamp,5.0,0.0
67836,Haryana,JIND,2007,Kharif     ,Jowar,104.0,34.5
67837,Haryana,JIND,2007,Kharif     ,Maize,3.0,1.0933333333333333
67838,Haryana,JIND,2007,Kharif     ,Moong(Green Gram),53.0,0.0
67842,Haryana,JIND,2007,Rabi       ,Gram,461.0,940.0
67843,Haryana,JIND,2007,Rabi       ,Masoor,15.0,7.5
67847,Haryana,JIND,2007,Whole Year ,Sannhamp,7.0,40.2
67852,Haryana,JIND,2008,Kharif     ,Jowar,279.0,230.66
67853,Haryana,JIND,2008,Kharif     ,Moong(Green Gram),51.0,0.0
67854,Haryana,JIND,2008,Kharif     ,Moth,2.0,0.1
67857,Haryana,JIND,2008,Kharif     ,Urad,2.0,0.2
67859,Haryana,JIND,2008,Rabi       ,Gram,391.0,611.0
67860,Haryana,JIND,2008,Rabi       ,Masoor,13.0,5.9
67863,Haryana,JIND,2008,Whole Year ,Coriander,7.0,41.43333333333334
67865,Haryana,JIND,2008,Whole Year ,Sannhamp,3.0,1.3824999999999998
67870,Haryana,JIND,2009,Kharif     ,Jowar,4.0,2.7066666666666666
67871,Haryana,JIND,2009,Kharif     ,Moong(Green Gram),32.0,2.6
67873,Haryana,JIND,2009,Kharif     ,Sesamum,101.0,62.0084656084656
67875,Haryana,JIND,2009,Rabi       ,Gram,180.0,84.03333333333333
67876,Haryana,JIND,2009,Rabi       ,Masoor,8.0,0.8
67878,Haryana,JIND,2009,Whole Year ,Coriander,2.0,1.2753968253968253
67883,Haryana,JIND,2010,Kharif     ,Jowar,45.0,28.5
67884,Haryana,JIND,2010,Kharif     ,Moong(Green Gram),15.0,2.175
67886,Haryana,JIND,2010,Kharif     ,Sesamum,102.0,54.02142857142858
67888,Haryana,JIND,2010,Rabi       ,Gram,171.0,87.3
67889,Haryana,JIND,2010,Rabi       ,Masoor,20.0,1.2
67892,Haryana,JIND,2010,Whole Year ,Coriander,1.0,1.0446041574524547
67894,Haryana,JIND,2010,Whole Year ,Garlic,2.0,1.7356060606060606
67897,Haryana,JIND,2010,Whole Year ,Sannhamp,2.0,0.0
67901,Haryana,JIND,2011,Kharif     ,Jowar,77.0,8.975
67903,Haryana,JIND,2011,Kharif     ,Moth,3.0,0.0
67905,Haryana,JIND,2011,Kharif     ,Sannhamp,2.0,1.8800000000000001
67906,Haryana,JIND,2011,Kharif     ,Sesamum,69.0,9.047
67908,Haryana,JIND,2011,Rabi       ,Gram,74.0,30.0
67909,Haryana,JIND,2011,Rabi       ,Masoor,21.0,0.0
67915,Haryana,JIND,2011,Whole Year ,Turmeric,1.0,0.5875
67919,Haryana,JIND,2012,Kharif     ,Jowar,81.0,0.0
67925,Haryana,JIND,2012,Rabi       ,Gram,48.0,84.1
67946,Haryana,KAITHAL,1998,Kharif     ,Groundnut,1.0,0.0
67947,Haryana,KAITHAL,1998,Kharif     ,Jowar,225.0,106.95
67948,Haryana,KAITHAL,1998,Kharif     ,Maize,277.0,552.8
67949,Haryana,KAITHAL,1998,Kharif     ,Moong(Green Gram),10.0,0.0
67951,Haryana,KAITHAL,1998,Kharif     ,Sesamum,66.0,6.2
67952,Haryana,KAITHAL,1998,Kharif     ,Urad,3.0,0.0
67953,Haryana,KAITHAL,1998,Rabi       ,Barley,37.0,0.0
67954,Haryana,KAITHAL,1998,Rabi       ,Gram,232.0,162.525
67980,Haryana,KAITHAL,1999,Whole Year ,Dry chillies,8.0,45.0
68063,Haryana,KAITHAL,2004,Kharif     ,Arhar/Tur,25.0,9.0
68066,Haryana,KAITHAL,2004,Kharif     ,Jowar,34.0,24.625
68067,Haryana,KAITHAL,2004,Kharif     ,Maize,99.0,10.5
68068,Haryana,KAITHAL,2004,Kharif     ,Moong(Green Gram),30.0,5.071428571428571
68070,Haryana,KAITHAL,2004,Kharif     ,Sesamum,80.0,6.6
68071,Haryana,KAITHAL,2004,Kharif     ,Urad,13.0,2.05
68072,Haryana,KAITHAL,2004,Rabi       ,Barley,33.0,0.0
68073,Haryana,KAITHAL,2004,Rabi       ,Gram,207.0,20.9
68083,Haryana,KAITHAL,2005,Kharif     ,Arhar/Tur,30.0,0.0
68086,Haryana,KAITHAL,2005,Kharif     ,Jowar,6.0,4.2
68087,Haryana,KAITHAL,2005,Kharif     ,Maize,108.0,18.4
68088,Haryana,KAITHAL,2005,Kharif     ,Moong(Green Gram),38.0,10.025
68091,Haryana,KAITHAL,2005,Kharif     ,Urad,11.0,1.2
68092,Haryana,KAITHAL,2005,Rabi       ,Barley,109.0,10.1
68093,Haryana,KAITHAL,2005,Rabi       ,Gram,204.0,49.95
68097,Haryana,KAITHAL,2005,Whole Year ,Dry chillies,25.0,240.0
68100,Haryana,KAITHAL,2006,Kharif     ,Arhar/Tur,19.0,1.2
68103,Haryana,KAITHAL,2006,Kharif     ,Jowar,36.0,38.63333333333334
68104,Haryana,KAITHAL,2006,Kharif     ,Maize,90.0,0.0
68108,Haryana,KAITHAL,2006,Kharif     ,Urad,8.0,0.4
68109,Haryana,KAITHAL,2006,Rabi       ,Barley,43.0,38.79333333333334
68110,Haryana,KAITHAL,2006,Rabi       ,Gram,233.0,150.425
68115,Haryana,KAITHAL,2006,Whole Year ,Garlic,2.0,1.7356060606060606
68116,Haryana,KAITHAL,2006,Whole Year ,Onion,8.0,161.1904761904762
68120,Haryana,KAITHAL,2007,Kharif     ,Arhar/Tur,17.0,1.0
68123,Haryana,KAITHAL,2007,Kharif     ,Jowar,39.0,20.0
68124,Haryana,KAITHAL,2007,Kharif     ,Maize,39.0,0.0
68125,Haryana,KAITHAL,2007,Kharif     ,Moong(Green Gram),56.0,2.0
68128,Haryana,KAITHAL,2007,Kharif     ,Urad,7.0,0.0
68129,Haryana,KAITHAL,2007,Rabi       ,Barley,16.0,21.4
68130,Haryana,KAITHAL,2007,Rabi       ,Gram,187.0,55.0
68138,Haryana,KAITHAL,2007,Whole Year ,Sannhamp,6.0,20.2
68143,Haryana,KAITHAL,2008,Kharif     ,Jowar,17.0,14.603333333333333
68144,Haryana,KAITHAL,2008,Kharif     ,Maize,34.0,0.0
68145,Haryana,KAITHAL,2008,Kharif     ,Moong(Green Gram),7.0,0.22000000000000003
68147,Haryana,KAITHAL,2008,Kharif     ,Sesamum,54.0,8.6
68148,Haryana,KAITHAL,2008,Kharif     ,Urad,5.0,0.6
68149,Haryana,KAITHAL,2008,Rabi       ,Barley,23.0,16.68333333333333
68150,Haryana,KAITHAL,2008,Rabi       ,Gram,136.0,27.4
68155,Haryana,KAITHAL,2008,Whole Year ,Garlic,10.0,90.5
68159,Haryana,KAITHAL,2008,Whole Year ,Turmeric,1.0,0.5875
68160,Haryana,KAITHAL,2009,Kharif     ,Arhar/Tur,1.0,0.0
68163,Haryana,KAITHAL,2009,Kharif     ,Jowar,16.0,16.48190476190476
68164,Haryana,KAITHAL,2009,Kharif     ,Maize,10.0,1.6
68165,Haryana,KAITHAL,2009,Kharif     ,Moong(Green Gram),8.0,0.7715151515151515
68167,Haryana,KAITHAL,2009,Kharif     ,Sesamum,52.0,4.0
68168,Haryana,KAITHAL,2009,Rabi       ,Barley,23.0,16.68333333333333
68169,Haryana,KAITHAL,2009,Rabi       ,Gram,127.0,52.8
68173,Haryana,KAITHAL,2009,Whole Year ,Coriander,6.0,37.5
68174,Haryana,KAITHAL,2009,Whole Year ,Dry chillies,7.0,95.0
68179,Haryana,KAITHAL,2010,Kharif     ,Arhar/Tur,1.0,0.0
68182,Haryana,KAITHAL,2010,Kharif     ,Jowar,23.0,11.028571428571428
68183,Haryana,KAITHAL,2010,Kharif     ,Maize,4.0,0.975
68184,Haryana,KAITHAL,2010,Kharif     ,Moong(Green Gram),14.0,1.1
68186,Haryana,KAITHAL,2010,Kharif     ,Sesamum,22.0,2.0300000000000002
68187,Haryana,KAITHAL,2010,Kharif     ,Urad,7.0,0.0
68188,Haryana,KAITHAL,2010,Rabi       ,Barley,25.0,13.25
68189,Haryana,KAITHAL,2010,Rabi       ,Gram,130.0,30.0
68194,Haryana,KAITHAL,2010,Whole Year ,Garlic,3.0,4.171607142857143
68196,Haryana,KAITHAL,2010,Whole Year ,Sannhamp,2.0,0.0
68198,Haryana,KAITHAL,2010,Whole Year ,Turmeric,1.0,0.5875
68199,Haryana,KAITHAL,2011,Kharif     ,Arhar/Tur,1.0,0.0
68202,Haryana,KAITHAL,2011,Kharif     ,Jowar,1.0,0.0
68203,Haryana,KAITHAL,2011,Kharif     ,Maize,16.0,13.39
68204,Haryana,KAITHAL,2011,Kharif     ,Moong(Green Gram),3.0,0.0
68206,Haryana,KAITHAL,2011,Kharif     ,Sesamum,7.0,0.0
68207,Haryana,KAITHAL,2011,Kharif     ,Urad,3.0,0.0
68208,Haryana,KAITHAL,2011,Rabi       ,Barley,16.0,21.4
68209,Haryana,KAITHAL,2011,Rabi       ,Gram,137.0,27.4
68213,Haryana,KAITHAL,2011,Whole Year ,Garlic,9.0,90.5
68216,Haryana,KAITHAL,2011,Whole Year ,Tobacco,1.0,1.0053809523809523
68217,Haryana,KAITHAL,2011,Whole Year ,Turmeric,10.0,5.185714285714286
68220,Haryana,KAITHAL,2012,Kharif     ,Dry ginger,2.0,2.0428571428571427
68221,Haryana,KAITHAL,2012,Kharif     ,Maize,9.0,1.6
68226,Haryana,KAITHAL,2012,Rabi       ,Barley,14.0,13.956944444444446
68227,Haryana,KAITHAL,2012,Rabi       ,Gram,133.0,37.4
68249,Haryana,KARNAL,1998,Kharif     ,Cotton(lint),62.0,19.9
68250,Haryana,KARNAL,1998,Kharif     ,Groundnut,1.0,0.0
68252,Haryana,KARNAL,1998,Kharif     ,Moong(Green Gram),12.0,0.6
68254,Haryana,KARNAL,1998,Kharif     ,Sesamum,28.0,8.129999999999999
68256,Haryana,KARNAL,1998,Rabi       ,Barley,194.0,115.2
68265,Haryana,KARNAL,1998,Whole Year ,Sannhamp,1.0,0.0
68280,Haryana,KARNAL,1999,Rabi       ,Rapeseed &Mustard,575.0,622.113
68289,Haryana,KARNAL,2000,Kharif     ,Jowar,86.0,0.0
68313,Haryana,KARNAL,2001,Kharif     ,Cotton(lint),64.0,28.3
68359,Haryana,KARNAL,2003,Kharif     ,Horse-gram,137.0,32.1
68383,Haryana,KARNAL,2004,Kharif     ,Cotton(lint),58.0,30.6
68384,Haryana,KARNAL,2004,Kharif     ,Maize,160.0,13.85
68385,Haryana,KARNAL,2004,Kharif     ,Moong(Green Gram),24.0,0.0
68387,Haryana,KARNAL,2004,Kharif     ,Sesamum,33.0,13.506190476190477
68388,Haryana,KARNAL,2004,Kharif     ,Urad,49.0,25.8
68389,Haryana,KARNAL,2004,Rabi       ,Barley,106.0,10.1
68390,Haryana,KARNAL,2004,Rabi       ,Gram,215.0,0.0
68394,Haryana,KARNAL,2004,Rabi       ,Sunflower,2.0,0.6
68401,Haryana,KARNAL,2004,Whole Year ,Sweet potato,3.0,61.53369047619047
68404,Haryana,KARNAL,2005,Kharif     ,Cotton(lint),51.0,66.6
68405,Haryana,KARNAL,2005,Kharif     ,Maize,276.0,352.8
68406,Haryana,KARNAL,2005,Kharif     ,Moong(Green Gram),71.0,40.03333333333334
68408,Haryana,KARNAL,2005,Kharif     ,Sesamum,68.0,10.18
68409,Haryana,KARNAL,2005,Kharif     ,Urad,58.0,7.7
68410,Haryana,KARNAL,2005,Rabi       ,Barley,111.0,10.1
68411,Haryana,KARNAL,2005,Rabi       ,Gram,158.0,33.275
68417,Haryana,KARNAL,2005,Whole Year ,Onion,2.0,3870.0
68423,Haryana,KARNAL,2006,Kharif     ,Cotton(lint),27.0,11.7
68424,Haryana,KARNAL,2006,Kharif     ,Maize,324.0,774.2
68425,Haryana,KARNAL,2006,Kharif     ,Moong(Green Gram),51.0,0.0
68427,Haryana,KARNAL,2006,Kharif     ,Sesamum,64.0,1.1
68429,Haryana,KARNAL,2006,Rabi       ,Barley,98.0,11.8
68430,Haryana,KARNAL,2006,Rabi       ,Gram,186.0,51.9
68439,Haryana,KARNAL,2006,Whole Year ,Sweet potato,2.0,6.829761904761905
68442,Haryana,KARNAL,2007,Kharif     ,Cotton(lint),25.0,5.766666666666667
68443,Haryana,KARNAL,2007,Kharif     ,Jowar,58.0,31.5
68445,Haryana,KARNAL,2007,Kharif     ,Moong(Green Gram),38.0,10.025
68448,Haryana,KARNAL,2007,Kharif     ,Sesamum,55.0,15.5
68450,Haryana,KARNAL,2007,Rabi       ,Barley,110.0,10.1
68451,Haryana,KARNAL,2007,Rabi       ,Gram,171.0,87.3
68463,Haryana,KARNAL,2008,Kharif     ,Cotton(lint),58.0,30.6
68464,Haryana,KARNAL,2008,Kharif     ,Groundnut,2.0,0.0
68466,Haryana,KARNAL,2008,Kharif     ,Jowar,139.0,112.21666666666665
68468,Haryana,KARNAL,2008,Kharif     ,Moong(Green Gram),23.0,0.0
68470,Haryana,KARNAL,2008,Kharif     ,Sesamum,23.0,6.7
68471,Haryana,KARNAL,2008,Kharif     ,Urad,79.0,17.4
68472,Haryana,KARNAL,2008,Rabi       ,Barley,311.0,109.0
68481,Haryana,KARNAL,2008,Whole Year ,Sannhamp,2.0,0.0
68487,Haryana,KARNAL,2009,Kharif     ,Jowar,31.0,18.146666666666665
68489,Haryana,KARNAL,2009,Kharif     ,Moong(Green Gram),38.0,10.025
68493,Haryana,KARNAL,2009,Rabi       ,Barley,72.0,0.0
68494,Haryana,KARNAL,2009,Rabi       ,Gram,131.0,30.0
68501,Haryana,KARNAL,2009,Whole Year ,Onion,1.0,1720.0
68505,Haryana,KARNAL,2010,Kharif     ,Bajra,408.0,506.1
68506,Haryana,KARNAL,2010,Kharif     ,Cotton(lint),9.0,0.0
68507,Haryana,KARNAL,2010,Kharif     ,Jowar,38.0,18.9
68508,Haryana,KARNAL,2010,Kharif     ,Maize,252.0,315.26666666666665
68509,Haryana,KARNAL,2010,Kharif     ,Moong(Green Gram),22.0,0.75
68510,Haryana,KARNAL,2010,Kharif     ,Other Kharif pulses,93.0,69.925
68513,Haryana,KARNAL,2010,Kharif     ,Sunflower,2.0,1.0
68515,Haryana,KARNAL,2010,Rabi       ,Barley,31.0,0.0
68516,Haryana,KARNAL,2010,Rabi       ,Gram,101.0,58.96
68521,Haryana,KARNAL,2010,Whole Year ,Coriander,57.0,85.98809523809524
68527,Haryana,KARNAL,2010,Whole Year ,Sweet potato,8.0,100.0
68530,Haryana,KARNAL,2011,Kharif     ,Cotton(lint),27.0,11.7
68531,Haryana,KARNAL,2011,Kharif     ,Maize,192.0,25.3
68532,Haryana,KARNAL,2011,Kharif     ,Moong(Green Gram),37.0,10.9
68533,Haryana,KARNAL,2011,Kharif     ,Other Kharif pulses,86.0,60.05
68535,Haryana,KARNAL,2011,Kharif     ,Sesamum,34.0,15.49
68537,Haryana,KARNAL,2011,Rabi       ,Barley,84.0,7.175
68538,Haryana,KARNAL,2011,Rabi       ,Gram,126.0,47.480000000000004
68548,Haryana,KARNAL,2011,Whole Year ,Sweet potato,12.0,170.33333333333331
68549,Haryana,KARNAL,2011,Whole Year ,Turmeric,4.0,3.8083333333333327
68552,Haryana,KARNAL,2012,Kharif     ,Cotton(lint),14.0,4.93
68553,Haryana,KARNAL,2012,Kharif     ,Maize,215.0,118.7
68558,Haryana,KARNAL,2012,Rabi       ,Barley,28.0,3.2666666666666666
68559,Haryana,KARNAL,2012,Rabi       ,Gram,97.0,34.6
68579,Haryana,KURUKSHETRA,1998,Kharif     ,Arhar/Tur,18.0,1.2
68580,Haryana,KURUKSHETRA,1998,Kharif     ,Bajra,45.0,41.6
68581,Haryana,KURUKSHETRA,1998,Kharif     ,Cotton(lint),3.0,0.225
68584,Haryana,KURUKSHETRA,1998,Kharif     ,Sesamum,2.0,0.0
68585,Haryana,KURUKSHETRA,1998,Kharif     ,Urad,25.0,4.2299999999999995
68586,Haryana,KURUKSHETRA,1998,Rabi       ,Barley,77.0,11.42
68587,Haryana,KURUKSHETRA,1998,Rabi       ,Gram,140.0,8.5
68589,Haryana,KURUKSHETRA,1998,Rabi       ,Rapeseed &Mustard,570.0,618.413
68607,Haryana,KURUKSHETRA,1999,Rabi       ,Rapeseed &Mustard,556.0,629.2666666666667
68614,Haryana,KURUKSHETRA,2000,Kharif     ,Arhar/Tur,11.0,4.2
68626,Haryana,KURUKSHETRA,2000,Whole Year ,Onion,2.0,3870.0
68632,Haryana,KURUKSHETRA,2001,Kharif     ,Cotton(lint),1.0,0.0
68680,Haryana,KURUKSHETRA,2003,Rabi       ,other oilseeds,9.0,0.5
68691,Haryana,KURUKSHETRA,2004,Kharif     ,Arhar/Tur,7.0,0.0
68692,Haryana,KURUKSHETRA,2004,Kharif     ,Bajra,51.0,53.7
68693,Haryana,KURUKSHETRA,2004,Kharif     ,Maize,208.0,119.0
68694,Haryana,KURUKSHETRA,2004,Kharif     ,Moong(Green Gram),6.0,0.22000000000000003
68697,Haryana,KURUKSHETRA,2004,Rabi       ,Barley,11.0,8.975
68698,Haryana,KURUKSHETRA,2004,Rabi       ,Gram,143.0,8.5
68708,Haryana,KURUKSHETRA,2005,Kharif     ,Arhar/Tur,4.0,2.1
68709,Haryana,KURUKSHETRA,2005,Kharif     ,Bajra,98.0,72.8
68710,Haryana,KURUKSHETRA,2005,Kharif     ,Cotton(lint),11.0,1.1
68711,Haryana,KURUKSHETRA,2005,Kharif     ,Maize,179.0,20.2
68714,Haryana,KURUKSHETRA,2005,Kharif     ,Sesamum,1.0,0.0
68716,Haryana,KURUKSHETRA,2005,Rabi       ,Barley,3.0,1.2
68717,Haryana,KURUKSHETRA,2005,Rabi       ,Gram,135.0,27.4
68728,Haryana,KURUKSHETRA,2006,Kharif     ,Bajra,93.0,60.7
68729,Haryana,KURUKSHETRA,2006,Kharif     ,Maize,124.0,44.89333333333334
68732,Haryana,KURUKSHETRA,2006,Kharif     ,Sesamum,6.0,0.725
68734,Haryana,KURUKSHETRA,2006,Rabi       ,Barley,14.0,13.956944444444446
68735,Haryana,KURUKSHETRA,2006,Rabi       ,Gram,137.0,27.4
68745,Haryana,KURUKSHETRA,2007,Kharif     ,Bajra,99.0,62.2
68746,Haryana,KURUKSHETRA,2007,Kharif     ,Maize,87.0,0.0
68747,Haryana,KURUKSHETRA,2007,Kharif     ,Moong(Green Gram),48.0,0.0
68749,Haryana,KURUKSHETRA,2007,Kharif     ,Sesamum,1.0,0.0
68751,Haryana,KURUKSHETRA,2007,Rabi       ,Barley,5.0,5.508095238095238
68752,Haryana,KURUKSHETRA,2007,Rabi       ,Gram,110.0,49.9
